"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type"
220;25;18;1;"antagonistic"
221;25;19;1;"secondary"
222;26;5;1;"antagonistic"
223;27;5;1;"antagonistic"
224;26;7;1;"antagonistic"
225;27;7;1;"antagonistic"
226;26;10;1;"antagonistic"
227;27;10;1;"antagonistic"
228;26;12;1;"antagonistic"
229;27;12;1;"antagonistic"
230;26;11;1;"antagonistic"
231;27;11;1;"antagonistic"
232;26;17;1;"antagonistic"
233;27;17;1;"antagonistic"
234;26;18;1;"antagonistic"
235;27;18;1;"antagonistic"
236;26;20;1;"antagonistic"
237;27;20;1;"antagonistic"
238;7;21;2;"primary"
239;31;21;2;"primary"
240;28;21;2;"primary"
241;24;21;2;"primary"
242;23;21;2;"secondary"
243;1;21;2;"secondary"
244;2;21;2;"secondary"
245;14;21;2;"secondary"
246;29;21;2;"secondary"
247;26;21;2;"secondary"
248;31;21;2;"secondary"
249;9;21;2;"secondary"
250;3;21;2;"secondary"
251;10;21;2;"antagonistic"
252;19;21;2;"antagonistic"
253;2;21;2;"antagonistic"
254;7;22;2;"primary"
255;24;22;2;"primary"
256;14;22;2;"primary"
257;9;22;2;"primary"
258;13;22;2;"secondary"
259;25;22;2;"secondary"
260;31;22;2;"secondary"
261;28;22;2;"secondary"
262;29;22;2;"secondary"
263;26;22;2;"secondary"
264;27;22;2;"secondary"
265;12;22;2;"secondary"
266;21;22;2;"secondary"
267;30;22;2;"secondary"
268;1;22;2;"antagonistic"
269;2;22;2;"antagonistic"
270;7;23;2;"primary"
271;13;23;2;"primary"
272;14;23;2;"primary"
273;9;23;2;"primary"
274;13;23;2;"secondary"
275;25;23;2;"secondary"
276;31;23;2;"secondary"
277;28;23;2;"secondary"
278;29;23;2;"secondary"
279;12;23;2;"secondary"
280;27;23;2;"secondary"
281;26;23;2;"secondary"
282;21;23;2;"secondary"
283;30;23;2;"secondary"
284;1;23;2;"antagonistic"
285;2;23;2;"antagonistic"
286;3;23;2;"antagonistic"
287;7;24;2;"primary"
288;24;24;2;"primary"
