"id";"user_id";"exercise_id";"created_at";"updated_at"
127;1;1542;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
128;1;1543;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
129;1;1544;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
130;1;1545;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
131;1;1546;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
132;1;1547;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
133;1;1548;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
134;1;1549;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
135;1;1550;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
136;1;1551;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
137;1;1552;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
138;1;1553;"2020-08-30 18:14:32";"2020-08-30 18:14:32"
139;1;1554;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
140;1;1555;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
141;1;1556;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
142;1;1557;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
143;1;1558;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
144;1;1559;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
145;1;1560;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
146;1;1561;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
147;1;1562;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
148;1;1563;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
149;1;1564;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
150;1;1565;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
151;1;1566;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
152;1;1567;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
153;1;1568;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
154;1;1569;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
155;1;1570;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
156;1;1571;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
157;1;1572;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
158;1;1573;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
159;1;1574;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
160;1;1575;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
161;1;1576;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
162;1;1577;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
163;1;1578;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
164;1;1579;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
165;1;1580;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
166;1;1581;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
167;1;1582;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
168;1;1583;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
169;1;1584;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
170;1;1585;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
171;1;1586;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
172;1;1587;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
173;1;1588;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
174;1;1589;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
175;1;1590;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
176;1;1591;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
177;1;1592;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
178;1;1593;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
179;1;1594;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
180;1;1595;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
181;1;1596;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
182;1;1597;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
183;1;1598;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
184;1;1599;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
185;1;1600;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
186;1;1601;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
187;1;1602;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
188;1;1603;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
189;1;1604;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
190;1;1605;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
191;1;1606;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
192;1;1607;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
193;1;1608;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
194;1;1609;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
195;1;1610;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
196;1;1611;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
197;1;1612;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
198;1;1613;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
199;1;1614;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
200;1;1615;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
201;1;1616;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
202;1;1617;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
203;1;1618;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
204;1;1619;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
205;1;1620;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
206;1;1621;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
207;1;1622;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
208;1;1623;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
209;1;1624;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
210;1;1625;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
211;1;1626;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
212;1;1627;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
213;1;1628;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
214;1;1629;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
215;1;1630;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
216;1;1631;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
217;1;1632;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
218;1;1633;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
219;1;1634;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
220;1;1635;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
221;1;1636;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
