"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type";"active"
210;24;13;1;"secondary";1
211;24;12;1;"antagonistic";0
212;24;11;1;"antagonistic";0
213;24;17;1;"antagonistic";0
214;24;18;1;"antagonistic";0
215;24;19;1;"primary";1
216;25;5;1;"antagonistic";0
217;25;8;1;"secondary";1
218;25;13;1;"secondary";1
219;25;17;1;"antagonistic";0
220;25;18;1;"antagonistic";0
221;25;19;1;"secondary";1
222;26;5;1;"antagonistic";0
223;27;5;1;"antagonistic";0
224;26;7;1;"antagonistic";0
225;27;7;1;"antagonistic";0
226;26;10;1;"antagonistic";0
227;27;10;1;"antagonistic";0
228;26;12;1;"antagonistic";0
229;27;12;1;"antagonistic";0
230;26;11;1;"antagonistic";0
231;27;11;1;"antagonistic";0
232;26;17;1;"antagonistic";0
233;27;17;1;"antagonistic";0
234;26;18;1;"antagonistic";0
235;27;18;1;"antagonistic";0
236;26;20;1;"antagonistic";0
237;27;20;1;"antagonistic";0
238;7;21;2;"primary";1
239;31;21;2;"primary";1
240;28;21;2;"primary";1
241;24;21;2;"primary";1
242;23;21;2;"secondary";1
243;19;21;2;"secondary";1
244;2;21;2;"secondary";1
245;14;21;2;"secondary";1
246;29;21;2;"secondary";1
247;26;21;2;"secondary";1
248;31;21;2;"secondary";1
249;9;21;2;"secondary";1
250;3;21;2;"secondary";1
251;10;21;2;"antagonistic";0
252;19;21;2;"antagonistic";0
253;2;21;2;"antagonistic";0
254;7;22;2;"primary";1
255;24;22;2;"primary";1
256;14;22;2;"primary";1
257;9;22;2;"primary";1
258;13;22;2;"secondary";1
259;25;22;2;"secondary";1
260;31;22;2;"secondary";1
261;28;22;2;"secondary";1
262;29;22;2;"secondary";1
263;26;22;2;"secondary";1
264;27;22;2;"secondary";1
265;12;22;2;"secondary";1
266;21;22;2;"secondary";1
267;30;22;2;"secondary";1
268;19;22;2;"antagonistic";0
269;2;22;2;"antagonistic";0
270;7;23;2;"primary";1
271;13;23;2;"primary";1
272;14;23;2;"primary";1
273;9;23;2;"primary";1
274;13;23;2;"secondary";1
275;25;23;2;"secondary";1
276;31;23;2;"secondary";1
277;28;23;2;"secondary";1
278;29;23;2;"secondary";1
279;12;23;2;"secondary";1
280;27;23;2;"secondary";1
281;26;23;2;"secondary";1
282;21;23;2;"secondary";1
283;30;23;2;"secondary";1
284;19;23;2;"antagonistic";0
285;2;23;2;"antagonistic";0
286;3;23;2;"antagonistic";0
287;7;24;2;"primary";1
288;24;24;2;"primary";1
289;14;24;2;"primary";1
290;9;24;2;"primary";1
291;13;24;2;"secondary";1
292;25;24;2;"secondary";1
293;28;24;2;"secondary";1
294;31;24;2;"secondary";1
295;29;24;2;"secondary";1
296;2;24;2;"secondary";1
297;19;24;2;"antagonistic";0
298;2;24;2;"antagonistic";0
299;3;24;2;"antagonistic";0
300;7;8;2;"primary";1
301;14;8;2;"primary";1
302;19;8;2;"primary";1
303;5;8;2;"secondary";1
304;2;8;2;"secondary";1
305;13;8;2;"secondary";1
306;11;8;2;"antagonistic";0
307;3;8;2;"antagonistic";0
308;31;8;2;"antagonistic";0
309;24;8;2;"primary";1
310;25;8;2;"secondary";1
311;7;25;2;"primary";1
312;31;25;2;"primary";1
313;28;25;2;"primary";1
314;24;25;2;"primary";1
315;13;25;2;"secondary";1
316;25;25;2;"secondary";1
317;19;25;2;"secondary";1
318;2;25;2;"secondary";1
319;24;25;2;"secondary";1
320;29;25;2;"secondary";1
321;12;25;2;"secondary";1
322;26;25;2;"secondary";1
323;27;25;2;"secondary";1
324;9;25;2;"antagonistic";0
325;10;25;2;"antagonistic";0
326;3;25;2;"antagonistic";0
327;7;26;2;"primary";1
328;14;26;2;"primary";1
329;24;26;2;"primary";1
330;9;26;2;"primary";1
331;2;26;2;"secondary";1
332;25;26;2;"secondary";1
333;13;26;2;"secondary";1
334;12;26;2;"secondary";1
335;26;26;2;"secondary";1
336;27;26;2;"secondary";1
337;21;26;2;"secondary";1
338;30;26;2;"secondary";1
339;19;26;2;"antagonistic";0
340;31;26;2;"antagonistic";0
